Title,Author,Publisher,Publish Date,Price,Rating,Review Count,Detail URL
된다! 하루 만에 끝내는 제미나이 활용법,권서림,이지스퍼블리싱,2025년 11월,18000,9.8,54,https://www.yes24.com/product/goods/163301895
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,18000,9.8,61,https://www.yes24.com/product/goods/145426898
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴(Korea.com),2025년 08월,24300,9.7,37,https://www.yes24.com/product/goods/150566390
된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,18000,9.5,90,https://www.yes24.com/product/goods/146955725
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,쌩초,골든래빗,2025년 12월,16920,10.0,82,https://www.yes24.com/product/goods/167400825
AI 버블이 온다,"아르빈드 나라야난, 사야시 카푸르/강미경 역",윌북(willbook),2025년 12월,22320,9.9,46,https://www.yes24.com/product/goods/167465671
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","안익재, 황의태",앤써북,2025년 12월,17820,10.0,82,https://www.yes24.com/product/goods/169849422
된다! 하루 만에 준비하는 AI 학교 수업 활용법,"정인걸, 김경수",이지스퍼블리싱,2025년 03월,17820,10.0,39,https://www.yes24.com/product/goods/142814138
바로 배워서 바로 써먹는 바이브 코딩,"박찬, 김병석, 전수연, 김지용, 구현희 외 3명
                                        
정보 더 보기/감추기



박찬
김병석
전수연
김지용
구현희
전채원
홍찬우
이상선",다빈치books,2025년 09월,19800,10.0,43,https://www.yes24.com/product/goods/152079426
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진",시프트,2025년 09월,18000,9.7,29,https://www.yes24.com/product/goods/152644865
대체불가 AI 영상 제작 완전정복,이용태,책바세,2025년 12월,26100,10.0,11,https://www.yes24.com/product/goods/165239801
요즘 당근 AI 개발,당근 팀,골든래빗,2025년 10월,19800,10.0,86,https://www.yes24.com/product/goods/154566057
